"
Программа по поддержке разработки районных ПСЭР для Ат-Башинского и Ноокатского районов
","В декабре 2022 года в рамках государственной программы по поддержке и развитию женского предпринимательства в Кыргызской Республике на 2022-2026 годы была запущена программа по поддержке разработки районных ПСЭР (Программы социально-экономического развития) для Ат-Башинского и Ноокатского районов.  Программа была реализована Общественным Объединением «Женский Форум «Курак» совместно с «Институтом политики развития» при поддержке ACTED Kyrgyzstan. Цель программы — проведение реформ, принятие мер и действий, которые должны быть направлены на создание благоприятных условий для инвестирования, развития женского предпринимательства, а также экономического роста через оптимизацию государственного регулирования, улучшение качества институциональной среды, формирование в регионах адекватной социальной и производственной инфраструктуры в целом. Что было проделано: Цель данной работы: Проведение адвокационной работы для выявления наиболее часто встречающихся проблем, с которыми сталкиваются женщины, кто занимается предпринимательство или планируют такую деятельность. Выявленные проблемы: О госпрограмме не была осведомлена ни одна из участниц, хотя многие задумывали открыть свое дело или уже вели предпринимательскую деятельность. Это говорит о том, что на местах отсутствует должный уровень коммуникаций между госорганами и местным сообществом по реализации госпрограмм, проводится мало разъяснительных мероприятий по поддержке женского предпринимательства.  В ходе встреч участницы семинара рассказали, что отсутствие достаточной информации о мерах поддержки женщин, страх столкнуться с коррупцией, гендерные стереотипы мешают им вовлекаться в экономическую деятельность, чтобы иметь ресурсы экономически поддерживать свою семью. Слабый уровень коммуникаций с властью приводит к тому, что женщина из глубинки, которая решит открыть свое дело, не имеет возможности самостоятельно оценить его потенциал, подготовить бизнес-план, получить доступ к источникам финансирования. Но задачи поддержки семьи никто не отменял, и женщины с большим предпринимательским потенциалом либо уходят в неформальную занятость, либо уезжают  в трудовую миграцию, где часто вынуждены заниматься низкоквалифицированным трудом, чтобы заработать. Оба этих фактора, хотя и помогают семьям выжить, но серьезно подрывают экономический потенциал регионов, вымывая нужные трудовые ресурсы, сокращая возможности развития за счет открытия женщинами частных предприятий и, следовательно, создания рабочих мест. Рекомендации:  Работу с женщинами-предпринимательницами важно строить на тесном взаимодействии, основанном на понимании их вклада в развитие экономики региона. Поэтому необходимо иметь устойчивый канал коммуникаций для обмена информации и постоянной связи, оказывать содействие в поиске или предоставлении помещений для открытия своего дела, других площадей. Для этого необходимы регулярные курсы для местных властей по программам женского предпринимательства, по коммуникациям с сообществами. Только при таком тесном контакте возможно продвижение инициатив. То же самое относится к коммуникациям с некоммерческими организациями, оказывающими содействие, консультационные услуги женщинам-предпринимательницам. В свою очередь, им самим нужно более активно объединяться в различные ассоциации или находить другие формы кооперации для продвижения собственных инициатив, участия в проектах, получения доступа к грантовым средствам или госпрограммам поддержки.  Коротко мероприятия, которые будут способствовать улучшению условий развития женского предпринимательства и которые можно включать в местные программы социально-экономического развития, можно сформулировать следующим образом:       Развернутая презентация Госпрограммы по поддержке женского предпринимательства на 2022-2026 гг. Совместная выработка рекомендаций для включения мер из Госпрограммы по развитию женского предпринимательства в ПСЭР Ат-Башинского и Ноокатского районов. Интерактивная сессия: Цифры решают все. Планирование и финансы — как эффективно управлять информацией. Сессия: Возможности участия в ассоциациях. Подготовка Аналитической записки и рекомендаций. Содействие открытию специальных курсов по цифровой грамотности. Содействие разработке мобильных приложений для женщин-предпринимательниц по обучению правовой и финансовой грамотности. Внедрение курса обучения женщин-предпринимательниц основам маркетинга, предпринимательской деятельности, правовым вопросам, деловой этике, правилам ведения переговоров. Данные тренинги могут быть разработаны для очного и дистанционного обучения. Проведение тренингов по эффективным коммуникациям между госорганами, НКО, женщинами-предпринимательницами, донорским сообществом. Проведение круглых столов с представителями крупного бизнеса, банковского сектора, госоргановдля оказания содействия женщинам-предпринимательницам из регионов в открытии своего дела, формировании комфортной среды и преодолении гендерных стереотипов (на национальном уровне). Проведение встреч с национальными бизнес-ассоциациями, успешными предпринимателями на местном уровне для мотивации женщин и консультаций. Разработка и создание Интернет-ресурсов для женщин-предпринимательниц с размещением всех необходимых ссылок, включая донорские проекты и программы господдержки, в том числе специальные кредитные линии, информации о выставках и форумах. Проведение точечных информационных кампаний, направленных на улучшение условий развития женского предпринимательства. Развитие сети объединений женщин-предпринимательниц. Изучение возможности разработки законодательных или нормативных документов для улучшения условий развития женского предпринимательства. Представленный набор рекомендаций не носит исчерпывающего характера, но поможет в краткосрочной и среднесрочной перспективах изменить ситуацию и усилить потенциал женского предпринимательства в регионах.",http://kurak.kg/wp-content/uploads/2023/04/IMG_9845-1024x766.jpg
"
Новые члены Правления ОО «Женский Форум «Курак»
","Приветствуем новых членов Правления Женского Форума «Курак» Нураим Манапбаеву и Дарику Алдашеву 😍 Нураим и Дарика являются коучами в бизнесе и лидерстве с сертификацией от ICF (Международная федерация коучинга) в Институте Менторинга и Коучинга. ✨ Нураим Манапбаева: Области компетенции Нураим включают: финансовое образование на базе международной методологии с сертификацией, внедрение принципов работы с клиентами, внутренние и внешние коммуникации, бизнес-консалтинг. Нураим работала в медиа-секторе, в международных компаниях, общественных и коммерческих организациях, коммерческих банках страны, руководила подразделениями корпоративного и розничного сегмента, обладательница многих признаний, дипломов, сертификатов, подтверждающих ее разносторонний опыт.  В настоящее время состоит в профессиональных сообществах по управленческому консалтингу, коучингу, финансовому образованию, член сообщества CELA. ✨ Дарика Алдашева: Генеральный директор Digital-агентства «Jeti Media».  Дарика имеет многолетний опыт в сфере продвижения в социальных сетях. Работала с международными и Кыргызстанскими компаниями, является экспертом японского центра KRJC, а также приглашенным лектором по PR, антикризисному PR, маркетингу и SMM 
во многих организациях.  Участница программы Techwomen, проходила стажировку в компаниях Силиконовой долины таких, как Twitter, Facebook и LinkedIn.  В ЖФ «Курак» Дарика активно принимает участие в инициативах, продвигающих женское предпринимательство и является лучшим Ментором программы ЕБРР «Женщины в бизнесе» в 2022 году. Поздравляем с назначением! Больших успехов и достижений в новой должности! Вместе мы сила 🔥🔥🔥 ",http://kurak.kg/wp-content/uploads/2023/04/ЧЛЕНЫ-ПРАВЛЕНИЯ-1024x1024.jpg
"
Куракчанка Абдыкеримова Салтанат получила именную награду «Most Influential Woman 2023» на Women’s Global Conference в ОАЭ
","Куракчанки — наша гордость! Член нашей ассоциации Абдыкеримова Салтанат получила именную награду «Most Influential Woman 2023» на Women’s Global Conference в ОАЭ! Салтанат является генеральным директором консалтинговой компании ОсОО «Ассортис Кей Джи», коучем и консультантом в электронной коммерции и в управлении экспортом, также она создала цифровую выставку «Энциклопедия Курак». Именную награду Салтанат получила за активную жизненную позицию и за свои проекты по поддержке женского предпринимательства и продвижения на международный уровень. Мы очень горды иметь в рядах такого упорного и нацеленного на результат человека! Салтанат, поздравляем вас! Благодарим за упорный труд и огромный вклад в развитие женского предпринимательства нашей страны и не только!   ",http://kurak.kg/wp-content/uploads/2023/04/IMG_9752.jpg
"
ОО «Женский Форум «Курак» вступил в Женский деловой совет «Women’s Business Council» Всемирной ассоциации развития женского предпринимательства
","Поддержка и развитие женского предпринимательства не имеет границ 🔥 В рамках Международного саммита женщин-предпринимательниц, который прошел 10-12 марта в ОАЭ, состоялось подписание договора о вступлении ОО «Женский форум «Курак» в Женский деловой совет («Women’s Business Council») Всемирной ассоциации развития женского предпринимательства. Целью данного договора является:  Для нас большая честь и гордость стать членами такой масштабной организации! Ведь мы с вами выступаем от имени всех предпринимательниц Кыргызстана!  Благодарим каждую из вас за поддержку и доверие, за счет чего мы развиваемся вместе с вами уже более 10 лет! Поздравляем каждую предпринимательницу Кыргызстана с этим признанием и доверием на международной платформе 👏 На фотографии: заместитель председателя правления ОО «Женский форум «Курак» г-жа Азиза Юлдашева и со-председатель наблюдательного совета Женского делового совета Всемирной ассоциации развития женского предпринимательства г-жа Фарида Абдулла Камар Аль-Авади.   Совместная работа по развитию женского предпринимательства на территории Кыргызстана и ОАЭ путем организации совместных мероприятий и конференций в образовательной, научной и инновационной деятельности. Развитие международного сотрудничества в сфере женского предпринимательства с целью консолидации бизнеса. Развитие международного сотрудничества среди предпринимательниц с целью обмена опытом и развития торговых отношений. Подготовка и проведение совместных образовательных семинаров, программ, в том числе программ дополнительного профессионального образования, дистанционного обучения и вебинаров.",http://kurak.kg/wp-content/uploads/2023/04/IMG_9750-1024x765.jpg
"
ОО «Женский Форум «Курак» стал членом Совета по развитию бизнеса и предпринимательства при торага Жогорку Кенеша Кыргызстана
","10 марта на состоялось заседание Совета по развитию бизнеса и предпринимательства при торага Жогорку Кенеша Кыргызстана (Бизнес Кенеш), на котором мы официально вступили в Совет! Членство в Бизнес Кенеш является еще одним огромным достижением, к которому мы пришли через упорный труд в течение последних 10 лет. Мы верим, что данная площадка станет отличной возможностью для продвижения женского предпринимательства и внесения реальных изменений в бизнес сообщество нашей страны! Бизнес Кенеш был образован в 2017 году распоряжением торага в целях укрепления взаимодействия Жогорку Кенеша с бизнес-сообществом. Основной задачей Совета является консолидация потенциала бизнес-среды в стране, продвижение предпринимательской деятельности в Кыргызстане. Совет является площадкой для выработки предложений и рекомендаций в законодательство, регулирующее предпринимательскую деятельность, проведения мониторинга и анализа нормативных правовых актов в сфере предпринимательства. ",http://kurak.kg/wp-content/uploads/2023/04/Мероприятия-2-1024x557.jpg
"
Куракчанки представляют Кыргызстан на Женском Саммите в ОАЭ!
","Делегация из Кыргызстана посетила два мероприятия в ОАЭ, посвящённых женскому предпринимательству: Women’s Empowerment Convention в Дубае и саммит «Женщины-предприниматели в свете цифровой трансформации» в Абу-Даби. Оба мероприятия объединили представительниц различных компаний и ассоциаций женщин-предпринимателей со всего мира! Например, темой WE Convention стала совершенствование жизни женщин благодаря образованию, мотивации и развитию своих деловых и творческих способностей. Среди известных спикеров  была Мэй Маск, мама Илона Маска, она же была награждена званием «Woman of the year». Куракчанки смогли пообщаться и с другими известными женщинами из сферы бизнеса, технологий, стартапов, медиа и моды, а также поделиться своим опытом! Провели ряд стратегических сессий и встреч, благодаря которыми были достигнуты договоренности о сотрудничестве, а также были приглашены на различные мероприятия в рамках своего пребывания в ОАЭ! Мы очень гордимся нашими коллегами и с радостью делимся небольшим фотоотчетом с ОАЭ! Мы убеждены, что женщины являются важной движущей силой мирового экономического развития, а такие мероприятия- отличная площадка для достижения женщинами всего мира равенства в правах и интересах и участия в экономическом развитии. ",http://kurak.kg/wp-content/uploads/2023/03/IMG_6857.jpg
"
Международный фестиваль «Эко Этно Курак», посвященный 10-летию Женского Форума «Курак»
","«Эко Этно Курак» – это особая арт площадка для обмена опытом между художниками-прикладниками и мастерами разных стран посредством культурного наследния курак. Основная цель фестиваля – сохранение окружающей среды, создание украшений из различных не используемых тканей и  развитие социального женского предпринимательства. На мероприятии приняли участие мастера из Франции, России, Казахстана, Узбекистана, Азербайджана, Германии, Италии, Южной Кореи и других стран. Дизайнеры, художники и ремесленники провели различные мастер-классы и обменялись опытом. ",http://kurak.kg/wp-content/uploads/2023/03/IMG_6837-1024x647.jpg
"
Меморандум о сотрудничестве между четырьмя Бизнес Ассоциациями деловых женщин в Центральной Азии по инициативе ОО «Женский Форум «Курак»
","21 сентября 2022 года в городе Ташкент прошел Региональный Женский Саммит «Женщины в торговле: Вызовы и возможности для женщин», на котором был подписан меморандум о сотрудничестве между ОО «Женский Форум «Курак», Ассоциацией деловых женщин Казахстана, Национальной ассоциацией деловых женщин Таджикистана и Ассоциацией деловых женщин Узбекистана.  Сотрудничество будет осуществляться в рамках программы развития женского предпринимательства в Центральной Азии.  Региональный Саммит направлен на расширение возможностей государственного и частного секторов Центральной Азии в интеграции гендерных аспектов во все секторы экономики, в особенности в торговлю и таможню, тем самым способствуя усилиям программы USAID по Центральной Азии (ТСА) по достижению гендерного равенства и экономического роста в регионе. Председатель Правления ОО Женский Форум «Курак» Айнура Сагынбаева выступила спикером в Нетворкинг сессии: Региональное сотрудничество ассоциаций деловых женщин. В рамках программы оказывается поддержка женщинам-предпринимательницам в области торговли и коммерции путем пересмотра существующих политик и практик в сфере торговли, ущемляющих возможности женщин и разработки мер по оказанию содействия женщинам в преодолении таких трудностей.  ",http://kurak.kg/wp-content/uploads/2023/03/IMG_6834-1024x891.jpg
"
Менторская программа для предпринимательниц в рамках проекта ПРООН «Содействие торговле», финансируемого Правительством Финляндии
","ОО «Женский Форум «Курак» реализовал новую менторскую программу в рамках проекта ПРООН «Содействие торговле», финансируемого Правительством Финляндии.  22 предпринимательниц из Ошской, Джалал-Абадской, Нарынской и Иссык-Кульской областей в течение месяца обучались тонкостям бизнес-планирования, маркетинга, управления персоналом, построения бизнес стратегии и планирования. Также, 20 менторов провели индивидуальные консультации для своих менти по вопросам разработки бизнес-концепций для расширения их конкретного бизнеса, продвижения, построения эффективной стратегии развития и финансовой структуры. Менти программы отбирались с четырех секторов: сельское хозяйство, пищепереработка сельскохозяйственных продуктов, торговля, туризм.  Программа Менторства направлена на расширение экономических прав и возможностей, продвижение сильных и позитивных ролевых моделей предпринимательниц Кыргызстана. ",http://kurak.kg/wp-content/uploads/2023/03/IMG_6833-1024x764.jpg
"
Второй сезон менторской программы «Женщины в бизнесе», направленный на развитие женского предпринимательства
","Завершился второй сезон менторской программы «Женщины в бизнесе», направленной на развитие женского предпринимательства. На протяжении 7 месяцев 44 кыргызстанки вместе с наставниками учились делать свой бизнес более рентабельным. Для участников провели 14 тренингов и семинаров по личностному росту и развитию бизнеса, 29 мониторинговых визитов и более 40 сессий с коучами и психологами – нововведение этого сезона. Эта программа стала результатом сотрудничества «Женского форума «Курак» и Европейского банка реконструкции и развития (ЕБРР) при поддержке Финансовой инициативы для предпринимательниц WeFi и правительства Швейцарии. В течение семи месяцев 36 кыргызстанок, активно работая в паре с наставниками, учились делать свой бизнес эффективнее и прибыльнее, осваивали современные технологии, занимались личностным ростом. Для участников были организованы тренинги, лекции, семинары, мастер-классы, бизнес-завтраки онлайн и офлайн, ознакомительные экскурсии на предприятия, деловые поединки и квизы. На добровольных началах к проекту присоединились девять менторов-эдвайзеров для консультирования всех участниц программы, география которой в этом сезоне расширилась. Своим опытом с менти делились успешные предприниматели и бизнес-консультанты из Таджикистана, Казахстана, Турции, Германии. По итогам программы более половины менти вышли на новые рынки, а 75% расширили ассортимент товаров и услуг. 67% участниц увеличили фонд заработной платы, 92% — объем продаж, 83% — доходность. Кроме этого, 36% внедрили инновации и автоматизировали бизнес-процессы, а 25% привлекли финансирование для развития бизнеса. Все 36 менти отметили личностный рост, 67% повысили потенциал сотрудников. За период проведения программы создано 133 новых рабочих мест. ",http://kurak.kg/wp-content/uploads/2023/03/IMG_6832-1024x680.jpg
